Data,Temp_OBS,UR_OBS,Prec_OBS
17/nov,30.66666667,51.7125,0
18/nov,31.20416667,48.15833333,0
19/nov,23.94166667,79.85833333,55.1
20/nov,23.48333333,73.29166667,0
21/nov,26.325,63.71666667,0
22/nov,27.47083333,65.075,0
23/nov,26.45416667,68.04583333,0.7
24/nov,21.69166667,73.92916667,3.6
25/nov,19.35,64.8875,0.5
26/nov,21.375,68.7875,0
27/nov,23.05416667,73.62083333,14.3
28/nov,24.39166667,75.45416667,0
29/nov,23.12083333,81.77916667,65.5
30/nov,24.74583333,74.55833333,2
30/nov,24.74583333,74.55833333,2
02/dez,27.6125,58.05416667,0
03/dez,29.2875,54.22083333,0
04/dez,27.45833333,57.80416667,0
05/dez,24.99583333,72.63333333,8.3
06/dez,26.7375,67.34583333,0
07/dez,28.675,59.34166667,0
08/dez,25.64166667,68.05,4.7
09/dez,23.55416667,64.95,0
10/dez,23.87916667,62.025,1
11/dez,24.39166667,71.15416667,7
12/dez,23.42083333,61.725,0
13/dez,24.55,57.49583333,0
14/dez,27.175,56.39583333,0
15/dez,29.16666667,49.61666667,0
16/dez,29.40833333,45.7625,0
17/dez,29.49166667,51.26666667,0
18/dez,28.80416667,47.37916667,0
19/dez,26.15,54.61666667,0
20/dez,25.07916667,52.68333333,0
21/dez,26.675,54.65,0.2
22/dez,26.93333333,61.7375,0
23/dez,25.55789474,67.68947368,0
24/dez,24.81666667,70.90833333,0
25/dez,28.15,58.0125,0
26/dez,27.325,61.8875,0
27/dez,24.9125,54.325,0
28/dez,25.975,49.2125,0
29/dez,29.20833333,48.17916667,0
30/dez,24.77916667,59.2125,0.2
31/dez,24.0625,57.8875,0
