Data,Temp_ETA,UR_ETA,Prec_ETA
2023-12-26,27.16,60.65,9.3
2023-12-27,26.65,60.74,4.6
2023-12-28,24.42,73.39,9.6
2023-12-29,21.35,70.72,0.0
2023-12-30,27.35,64.74,5.3
2023-12-31,24.88,71.52,24.1
2024-01-01,20.72,67.95,0.0
2024-01-02,27.75,60.55,37.6
2024-01-03,21.09,71.63,0.7
2024-01-04,22.93,65.62,0.0
2024-01-05,21.88,63.86,0.4
2024-01-06,23.31,63.68,0.0
2024-01-07,26.3,47.68,0.0
2024-01-08,27.68,57.32,0.0
2024-01-09,28.71,51.19,0.9
2024-01-10,27.85,56.39,0.0
2024-01-11,28.8,41.4,0.0
