Data,Temp_WRF,UR_WRF,Prec_WRF
2023-11-09,23.74,45.71,0.0
2023-11-10,28.05,30.28,0.0
2023-11-11,29.92,37.99,0.0
2023-11-12,31.2,29.5,0.0
2023-11-13,23.92,70.45,0.0
2023-11-14,26.45,60.29,0.2
2023-11-15,27.21,57.52,0.0
2023-11-16,31.41,41.64,0.2
2023-11-17,30.86,43.13,0.0
2023-11-18,31.04,45.06,0.1
2023-11-19,25.88,68.32,23.3
2023-11-20,21.42,86.05,36.6
2023-11-21,23.35,60.61,0.0
2023-11-22,27.88,48.37,0.0
2023-11-23,31.01,40.95,0.3
2023-11-24,28.56,56.44,4.0
2023-11-25,19.02,66.8,0.0
2023-11-26,20.79,66.95,0.0
2023-11-27,21.68,74.8,16.2
2023-11-28,21.63,85.52,30.3
2023-11-29,24.0,76.71,6.2
2023-11-30,23.53,70.62,1.2
2023-12-01,24.88,68.89,1.1
2023-12-02,25.69,71.61,24.5
2023-12-03,25.76,73.95,12.1
2023-12-04,24.89,76.86,28.2
2023-12-05,25.2,68.49,1.1
2023-12-06,23.46,79.16,9.6
2023-12-07,24.86,78.25,11.0
2023-12-08,23.53,79.48,1.2
2023-12-09,22.18,78.98,1.2
2023-12-10,22.1,68.25,0.0
2023-12-11,23.06,63.24,0.0
2023-12-12,24.24,74.36,18.3
2023-12-13,24.33,71.86,4.3
2023-12-14,26.89,62.26,0.0
2023-12-15,26.92,65.98,2.6
2023-12-16,27.95,51.9,0.0
2023-12-17,28.52,46.72,0.0
2023-12-18,28.88,48.96,0.0
2023-12-19,25.91,61.61,0.0
2023-12-20,24.15,59.31,0.0
2023-12-21,24.96,57.78,0.0
2023-12-22,25.26,72.1,4.0
2023-12-23,24.24,80.71,13.2
2023-12-24,26.12,67.99,0.6
2023-12-25,26.12,73.79,9.4
2023-12-26,24.75,79.02,41.5
2023-12-27,25.33,68.18,0.0
2023-12-28,21.19,59.34,0.0
2023-12-29,23.96,58.07,0.0
2023-12-30,25.35,73.35,21.4
2023-12-31,22.92,82.58,9.4
2024-01-01,23.38,78.12,9.8
2024-01-02,22.08,68.27,0.0
2024-01-03,20.4,66.65,1.1
2024-01-04,24.56,69.35,4.7
2024-01-05,21.59,73.23,8.3
2024-01-06,22.81,70.43,0.9
