data,temperatura_obs,precipitacao_obs,temperatura_eta,precipitacao_eta,temperatura_brams,precipitacao_brams,temperatura_wrf,precipitacao_wrf
2023-06-16,14.37391304,0.4,20.58,0,15.45,0,17.47,1
2023-06-17,11.3,0,22.57,0.5,16.64,0.2,15.39,0.4
2023-06-18,13.06666667,0.2,17.15,19.5,17.33,1.9,14.48,0
2023-06-19,15.44166667,0,20.05,15,15.6,0,15.02,0
2023-06-20,17.15416667,0,20.64,0,17.8,0,16.31,0
2023-06-21,18.1875,0,19.78,0,15.93,0,17.13,0
2023-06-22,17.5125,0,21.41,0,19.6,0,19.83,0
2023-06-23,18.17916667,0,20.03,0,19.29,2.5,16.19,0.1
2023-06-24,18.12916667,0,20.79,0,19.14,0,20.42,0
2023-06-25,18.54583333,0,21.17,0,20.29,0,20.47,0
2023-06-26,18.32083333,0,20.03,0,20.88,0.5,20.28,0
2023-06-27,18.80833333,0,21.04,0,20.26,0,21.01,0
2023-06-28,18.63333333,0,21.2,0,21.28,0,20.1,0
2023-06-29,17.82083333,0,20.15,0,19.42,2,18.86,0
2023-06-30,18.9375,0,18.3,0,18.15,0,18.83,0
2023-07-01,16.81666667,0,21.52,0,19.04,0,19.56,0
2023-07-02,17.09583333,0,19.55,0,19.02,0,16.49,0
2023-07-03,15.88333333,0,17.34,0,14.81,0,16.84,0
2023-07-04,15.89583333,0,20.56,5.2,15.38,0,20,0
2023-07-05,17.09565217,0,19.22,19.1,17.25,0,16.33,0
2023-07-06,17.61111111,0,19.55,0,16.22,0,17.58,0
2023-07-07,17.65263158,0,20.82,0,18.79,0,18.42,0
2023-07-08,18.03157895,0,20.33,0,18.44,0,19.9,0
2023-07-09,18.185,6.8,20.98,0,18.23,0,19.25,0.2
2023-07-10,18.41,0.4,23.35,0,20.14,0,21.95,0
2023-07-11,21.62857143,0,22.43,0,20.5,0,24.04,0
2023-07-12,22.64736842,0,22.22,0,21.64,0,24.02,0
2023-07-13,21.865,0,22.53,0,19.17,0,18.61,30.4
2023-07-14,15.02352941,0,20.79,3.4,11.78,0.2,15.25,0.8
2023-07-15,14.80625,0,22.54,13.6,13.42,0,13.28,0
2023-07-16,14.835,0,21.54,5.2,16.55,0,16.96,0
2023-07-17,19.77,0,22.01,0,14.96,0,20.78,0
2023-07-18,18.86666667,0,22.56,0,17.49,0,13.87,0
2023-07-19,18.43888889,0,21.28,0,15.96,0,20.16,0.1
2023-07-20,19.3375,0,14.48,0,19.4,0,20.35,0.1
2023-07-21,20.40952381,0,11.78,0,20.3,0,19.49,0
2023-07-22,19.03,0,17.02,0,19.55,0,18.8,0
2023-07-23,19.79090909,0,20.96,0,18.99,0,17.87,0
2023-07-24,21.45789474,0,22.34,0,19.13,0,19.59,0
2023-07-25,21.125,0,20.74,0,19.03,0,21.01,0
2023-07-26,22.3375,0,21.22,0,21.42,0,20.24,0.1
2023-07-27,21.33684211,0,21.41,0,19.64,0,22.78,0
2023-07-28,22.29545455,0,21.18,0,19.11,0.2,22.51,0.3
2023-07-29,18.3,0,22.12,2.9,19.12,0.5,18.74,0
2023-07-30,16.875,0,24.41,0.8,19.61,0,19,0
2023-07-31,17.53333333,0,19.75,0,16.68,0,20.92,0
2023-08-01,18.10416667,0,22.17,0,15.77,0,23.02,0
2023-08-02,20.10416667,0,21.03,0,15.62,0,22.58,0
2023-08-03,20.3,0,22.96,0,17.89,0,23.44,0
2023-08-04,20.6,0,23.47,0,18.76,0,23.05,0
2023-08-05,20.5375,0,19.61,0,18.42,0,23.48,0
2023-08-06,22.01666667,0,23.48,0,21.02,0,19.33,0
2023-08-07,21.69583333,0,24.38,0,20.84,0,24.14,0.1
2023-08-08,20.51666667,0,24.03,0,21.35,0,24.28,0.1
2023-08-09,21.6875,0,21.37,0,22.07,0,20.56,0
2023-08-10,22.94583333,0,19.75,0.7,21.88,0,24.58,0
2023-08-11,24.13913043,0,15.95,0,22.78,0,23.64,0
2023-08-12,21.39583333,0,25.01,0,22.37,0,23.01,0
2023-08-13,18.7625,0,25.85,0,16.75,1.7,21.45,2.4
2023-08-14,18.85416667,0,22.38,1.9,14.14,0,15.26,3.5
2023-08-15,21.2375,0,23.99,1.9,15.44,0,19.75,0.3
2023-08-16,23.48571429,0,22.43,0,15.99,0.2,21.42,0
2023-08-17,23.2875,0,22.79,0,18.95,0,23.6,0
2023-08-18,23.50416667,0,23.03,0,23.03,0,24.66,0
2023-08-19,22.1875,0,22.01,3.4,22,2.5,23.71,0
